path,domain,task,steps
/home/junho/data/dataset/coin/videos/116/NLy71UrHElw.mp4,10,116,"['373', '374', '375']"
/home/junho/data/dataset/coin/videos/94/JTmzWWU7s1M.mp4,6,94,"['386', '387']"
/home/junho/data/dataset/coin/videos/69/jXYZEb-56Wc.mp4,4,69,"['332', '331', '333', '335', '334']"
/home/junho/data/dataset/coin/videos/136/ar2vXJj_dQI.mp4,5,136,"['634', '635', '636']"
/home/junho/data/dataset/coin/videos/163/oDAY5PMwZgU.mp4,4,163,"['519', '520', '521']"
/home/junho/data/dataset/coin/videos/91/r_5RtkDwNsg.mp4,8,91,"['265', '266']"
/home/junho/data/dataset/coin/videos/100/CWmC03KVuPU.mp4,8,100,"['309', '308', '307', '311', '310', '311', '311']"
/home/junho/data/dataset/coin/videos/116/ot_sBwstblw.mp4,10,116,"['373', '374', '375']"
/home/junho/data/dataset/coin/videos/79/gnlUBK-cvfc.mp4,9,79,"['22', '23', '24']"
/home/junho/data/dataset/coin/videos/108/n0HdUsT48p8.mp4,2,108,"['535', '536', '537']"
/home/junho/data/dataset/coin/videos/158/v4z4s8a7YqE.mp4,1,158,"['284', '283', '284']"
/home/junho/data/dataset/coin/videos/23/iD9JmUkGpOA.mp4,9,23,"['705', '708', '705', '708']"
/home/junho/data/dataset/coin/videos/124/SN_IhH4PDPo.mp4,3,124,"['481', '482', '483']"
/home/junho/data/dataset/coin/videos/71/cK55Meyf3ss.mp4,5,71,"['663', '664', '665']"
/home/junho/data/dataset/coin/videos/10/WjjexIlQg6k.mp4,9,10,"['548', '548', '549', '551']"
/home/junho/data/dataset/coin/videos/120/8TVl3Ui-WHg.mp4,1,120,"['246', '247', '248']"
/home/junho/data/dataset/coin/videos/10/LMoGwLqPM64.mp4,9,10,"['548', '549', '551']"
/home/junho/data/dataset/coin/videos/72/Ntzsfe0xzF8.mp4,5,72,"['412', '413']"
/home/junho/data/dataset/coin/videos/10/633OkWbwLt4.mp4,9,10,"['549', '550', '551']"
/home/junho/data/dataset/coin/videos/91/X_GBesuwrAI.mp4,8,91,"['265', '266']"
/home/junho/data/dataset/coin/videos/110/8M5mt7pfO2A.mp4,1,110,"['689', '690']"
/home/junho/data/dataset/coin/videos/51/Cg6RAPmJDSM.mp4,8,51,"['194', '195', '194', '195', '196']"
/home/junho/data/dataset/coin/videos/157/PDele0Lq-iM.mp4,5,157,"['501', '502', '503']"
/home/junho/data/dataset/coin/videos/51/wEXFa9wRSn0.mp4,8,51,"['194', '195', '194', '195', '194', '195', '194', '195', '196', '197']"
/home/junho/data/dataset/coin/videos/88/p0zXvzHhX5w.mp4,9,88,"['484', '485', '486']"
/home/junho/data/dataset/coin/videos/178/9OqJyxVCUiA.mp4,10,178,"['458', '457', '455', '456', '457']"
/home/junho/data/dataset/coin/videos/1/I3tfxWUIHts.mp4,6,1,"['462', '461', '463', '461', '463', '464']"
/home/junho/data/dataset/coin/videos/128/ajnTL-7mr3o.mp4,4,128,"['75', '76', '77']"
/home/junho/data/dataset/coin/videos/146/1nQp_Yb8YW0.mp4,4,146,"['369', '370', '371', '372']"
/home/junho/data/dataset/coin/videos/61/5bLHouFLlbY.mp4,0,61,"['674', '675']"
/home/junho/data/dataset/coin/videos/17/cjWBEQC3n3Q.mp4,2,17,"['278', '275', '276', '277', '278', '277']"
/home/junho/data/dataset/coin/videos/140/fXUkskdp8X0.mp4,4,140,"['696', '698']"
/home/junho/data/dataset/coin/videos/21/xEal3npbaQs.mp4,11,21,"['593', '594', '595', '596', '597', '597']"
/home/junho/data/dataset/coin/videos/59/0R9pdc9dO3Q.mp4,3,59,"['692', '693', '694', '695']"
/home/junho/data/dataset/coin/videos/107/szjig3wmORM.mp4,11,107,"['297', '298']"
/home/junho/data/dataset/coin/videos/141/lKBwkhmx8qI.mp4,3,141,"['532', '533', '534']"
/home/junho/data/dataset/coin/videos/15/JMqMKF2eVk0.mp4,3,15,"['79', '80', '81', '82']"
/home/junho/data/dataset/coin/videos/133/_dJ6KwVqj1s.mp4,5,133,"['418', '419', '420']"
/home/junho/data/dataset/coin/videos/76/a4MRvyxGF5M.mp4,10,76,"['494', '495', '496']"
/home/junho/data/dataset/coin/videos/138/9KCy9ZKK2Nc.mp4,4,138,"['504', '505', '506', '507', '508', '508']"
/home/junho/data/dataset/coin/videos/84/t-4MEjgRcLY.mp4,8,84,"['680', '682', '682']"
/home/junho/data/dataset/coin/videos/144/N5wOzlDvpVM.mp4,4,144,"['182', '184', '185']"
/home/junho/data/dataset/coin/videos/22/udV9bizPwiU.mp4,9,22,"['107', '105', '106']"
/home/junho/data/dataset/coin/videos/76/TY6fWUgkEKQ.mp4,10,76,"['494', '495', '496']"
/home/junho/data/dataset/coin/videos/36/SExfbacM9YY.mp4,10,36,"['70', '71', '72', '73']"
/home/junho/data/dataset/coin/videos/16/i5K-DXt9djA.mp4,1,16,"['232', '233', '237', '236', '238']"
/home/junho/data/dataset/coin/videos/108/nX8oPykt6fk.mp4,2,108,"['535', '536', '537']"
/home/junho/data/dataset/coin/videos/27/tJOoUC_rQyI.mp4,11,27,"['642', '644', '643', '646']"
/home/junho/data/dataset/coin/videos/90/RnLcsM-QmuU.mp4,3,90,"['655', '656', '657', '658', '658', '659']"
/home/junho/data/dataset/coin/videos/1/pcvs3Tp_BeU.mp4,6,1,"['460', '461', '462', '463', '464']"
/home/junho/data/dataset/coin/videos/163/Jjj8FN4r6Ms.mp4,4,163,"['520', '521']"
/home/junho/data/dataset/coin/videos/136/TH23bzKmbdI.mp4,5,136,"['634', '635']"
